item_id,sku,category_id,title,varied_by,upc,gtin,Essential
256508244407,SON-GRCSS50HPSI-50HPS-GRN2,15913,"Gold Rush Sifting Classifier Sieve Mini 6 Inch Prospect Pan 50 Holes Per Sq Inch",,,,no
256508244410,SON-J65XCKCWHGP-XL-PURPLE,52373,"Jumbo 6.5"" XL Carabiner Key Chain  - Purple",,,706569256123,yes
256508244417,SON-BLE-BBQMATS-BLK-2PC,20725,"Beille Black BBQ Grill Accessories Reusable Non Stick Grilling Mats 13x15"" 2pk",,,810058485830,yes
256508244422,MCN-ODORELIMINATOR-GALLON-PZ,27363,"Gear Aid Wash-In Odor Eliminator - 1 Gallon",,,021563361193,yes
256508244425,SON-UTTHDFSSP-1025-WDN,262020,"Universal Tool Texturising Hammer Dual Face Square Stripe Patterns Wooden Handle",,,060886360629,yes
256508244429,SON-HACBPCMTS-8PC,116496,"Basic Pottery Kit Clay Molding Hobby Arts and Craft Tool Set for Beginners 8pc",,,706569062021,yes
256508244430,SON-AOLWSC-55E-OPQ,181415,"Large Translucent Waterproof Camping Storage Container -  5.5 Inch",,,706569069020,yes
256508244435,SON-PFSWKC-2PC-4-ORNG,178055,"(2 Piece) ASR Outdoor Plastic Funnel Set with Key Chains for Camping Hiking",,,060886614326,yes
256508244448,SON-MAGNIFYINGTWEEZER-1PK,15913,"Magnifying Tweezer 4X Magnification for Gold Prospecting Mining",,,,no
256508244454,SON-PONCHO-GRN,181415,"ASR Outdoor Emergency Poncho Green Polyethylene Rain Gear Camping One Size",,,810058483492,yes
256508244456,SON-425SHTTNSB-425,28171,"Shear Scissors Blades Sharp Heat Treated Thread Nipper 4.25 inches",,,140273718612,yes
256508244457,SON-BFTOUMT-MED-BLCK,20725,"ASR Outdoor Extendable Marshmallow Toaster Telescoping BBQ Fork Camping Utensil",,,793691628898,yes
256508244458,SON-AOSPRB100F-100F-BLCK,177902,"Survival Multi-Purpose Paracord Rope Black - 100 ft",,,706569074734,yes
256508244466,SON-OTRSCMP-STD-YLLW,36114,"Outdoor Thermal Mat Heat Reflective Sleeping Pad Insulated Winter Chill",,,706569065336,yes
256508244468,SON-SGSURSB-10PC-11-MTL,104229,"10pc Sterile Surgical Grade Replacement Scalpel Blades Universal Fit - Size 11",,,702286912267,yes
256508244478,SON-DAMAGEDSCREWEXTRACTOR-4PC,50382,"Universal Tool Damaged Screw Extractor Set - 4 Pieces Assorted Sizes",,,060886284604,yes
256508244481,SON-AOSPRORT100FT-100FT-RFLCTVORNG,177902,"Survival Multi-Purpose Paracord Rope Reflective Tracer Orange - 100ft",,,706569074765,yes
256508244500,SON-6MMWBHWBACA-BL,50814,"Universal Water Bottle Holder With Blue Aluminum Carabiner Clip Attachment",,,706569967647,yes
256508244506,SON-PJEGFTSD-7PC-SML-SLVR,262020,"Precision Jeweler Eye Glasses Flat Tip Screw Driver - 7pc",,,706569056426,yes
256508244508,SON-AOTFSSMFOU23I-23-BLCK,178983,"Tri Fold Steel Shovel Multi Functional Outdoor Use 23 Inch",,,706569074185,yes
256508244509,SON-DBSRT-12PC-SML-SLVR-IR-TT,260207,"ToolTreaux Diamond Coated Cutting Burrs Set Assorted Rotary Tools 12pc 150 Grit",,,810058482846,yes
256508244543,SON-AOUFDSVHVLG-ONE-GRN,88433,"Safety Disposable Vest High Visibility One Size Fits Most Lime Green",,,706569081589,yes
256476123885,MCN-GADWNCLN10OZ-10OZ-HVAR,259621,"GEAR AID Revivex Down Cleaner and Wash for Jackets and Sleeping Bags, 10 fl oz",,,0021563362879,yes
256476123930,SON-UTPEBS-3PC-123814I-GRY,50382,"Universal Tool Professional Power Extension Socket Bits for Drills 3pc Set",,,785220012100,yes
256508250506,SON-AOSPROG100F-100F-ODGRN,177902,"Survival Multi-Purpose Paracord Rope OD Green- 100 ft",,,706569074741,yes
256508701414,SON-MINERMOSS-12X36GRY-HPNR,15913,"SE GP-MT415-1GR 12” x 36” Grey Miner’s Moss (Sluice Box Matting)",,,,no
256508701447,ASR-BFTOU-BUN-3PK-STD-SLVR,20725,"ASR Outdoor Telescopic BBQ Fork 2 Prong Outdoor Cooking Utensil - 3 Pack",,,844124192971,yes
256508701474,ASR-SO4BGMN-BUN-2PC-2PK-LG-BLCK,20725,"Set of 4 Non-Stick BBQ Grill Mats Reusable Easy to Clean",,,,yes
256508701517,CHAINSAW-SHARPENING-BURR-3-16,85915,"3/16"" File Chain Saw Blade Diamond Sharpening Burr Shank 120 Grit",,,060886493525,yes
